"player_name"	"plate_x"	"plate_z"	"pitch_type"	"events"	"description"	"launch_angle"	"launch_speed"	"hc_x"	"hc_y"	"balls"	"strikes"	"type"	"game_year"	"stand"	"woba_value"	"p_throws"	"estimated_ba_using_speedangle"	"estimated_woba_using_speedangle"
"Joe Panik"	0.717	2.0415	"FF"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.995	2.7746	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"L"	NA	"R"	NA	NA
"Lorenzo Cain"	-0.8107	1.4698	"FT"	"walk"	"ball"	NA	NA	NA	NA	3	1	"B"	2019	"R"	0.7	"R"	NA	NA
"Lorenzo Cain"	-1.5774	2.1786	"FT"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	0.8974	3.5436	"FF"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-1.3619	2.4855	"FT"	NA	"swinging_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-1.3099	1.3046	"FT"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Hunter Dozier"	-0.4727	2.5844	"CH"	"field_out"	"hit_into_play"	45	98.2	32.32	100.75	0	2	"X"	2019	"R"	0	"R"	0.029	0.035
"Hunter Dozier"	-0.4763	2.7674	"SL"	NA	"called_strike"	NA	NA	NA	NA	0	1	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.9793	2.6026	"SI"	"single"	"hit_into_play_no_out"	-63	76.8	122.42	167.94	0	1	"X"	2019	"R"	0.9	"L"	0.237	0.221
"Hunter Dozier"	-0.1046	2.84	"FF"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	-0.1475	1.8448	"SI"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"L"	NA	NA
"Joe Panik"	0.1237	2.3901	"SI"	"field_out"	"hit_into_play"	-16	73.5	138.93	144.48	2	1	"X"	2019	"L"	0	"L"	0.053	0.045
"Joe Panik"	-0.9062	2.3589	"SI"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"L"	NA	"L"	NA	NA
"Joe Panik"	0.6203	3.4591	"SI"	NA	"foul"	11	62.6	NA	NA	1	0	"S"	2019	"L"	NA	"L"	NA	NA
"Joe Panik"	-1.3516	1.2322	"SI"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"L"	NA	"L"	NA	NA
"Jose Martinez"	-0.0792	1.5949	"CH"	"field_out"	"hit_into_play"	52	85.4	125.36	94.3	1	1	"X"	2019	"R"	0	"L"	0.024	0.02
